Title=viscosity

Legend=(time) = (450000)
z1 (meters)	num (m2/s)
-14.685308	0.001289
-14.370617	0.002194
-14.055926	0.002879
-13.741235	0.003362
-13.426543	0.003665
-13.111852	0.003804
-12.797160	0.003785
-12.482469	0.003603
-12.167778	0.003255
-11.853086	0.002731
-11.538395	0.001725
-11.223703	0.000680
-10.909012	0.000269
-10.594321	0.000068
-10.279630	0.000049
-9.964938	0.000048
-9.650247	0.000047
-9.335555	0.000046
-9.020864	0.000045
-8.706173	0.000044
-8.391481	0.000042
-8.076790	0.000041
-7.762098	0.000039
-7.447407	0.000037
-7.132716	0.000035
-6.818024	0.000033
-6.503333	0.000032
-6.188642	0.000030
-5.873950	0.000028
-5.559259	0.000026
-5.244567	0.000024
-4.929876	0.000023
-4.615185	0.000021
-4.300493	0.000019
-3.985802	0.000018
-3.671111	0.000017
-3.356419	0.000015
-3.041728	0.000015
-2.727036	0.000014
-2.412345	0.000015
-2.097654	0.000018
-1.782962	0.000029
-1.468271	0.000051
-1.153580	0.000089
-0.838888	0.000146
-0.524197	0.000226
-0.209506	0.000319
0.105186	0.000364
0.419877	0.000277
0.734569	0.000072

