1976/04/06 00:00:00  50 1
   -143.55    35.104939
   -140.65    35.104012
   -137.75    35.103081
   -134.85    35.102150
   -131.95    35.101219
   -129.05    35.100300
   -126.15    35.099369
   -123.25    35.098438
   -120.35    35.097511
   -117.45    35.096581
   -114.55    35.095661
   -111.65    35.094730
   -108.75    35.093800
   -105.85    35.092869
   -102.95    35.091949
   -100.05    35.091011
    -97.15    35.090092
    -94.25    35.089161
    -91.35    35.088230
    -88.45    35.087299
    -85.55    35.086380
    -82.65    35.085449
    -79.75    35.084518
    -76.85    35.083591
    -73.95    35.082661
    -71.05    35.081741
    -68.15    35.080811
    -65.25    35.079880
    -62.35    35.078949
    -59.45    35.078030
    -56.55    35.077099
    -53.65    35.076172
    -50.75    35.075241
    -47.85    35.074310
    -44.95    35.073380
    -42.05    35.072460
    -39.15    35.071529
    -36.25    35.070599
    -33.35    35.069672
    -30.45    35.068741
    -27.55    35.067822
    -24.65    35.066891
    -21.75    35.065960
    -18.85    35.065029
    -15.95    35.064110
    -13.05    35.063179
    -10.15    35.062248
     -7.25    35.061321
     -4.35    35.060390
     -1.45    35.059460
1976/04/07 00:00:00  50 1
   -143.55    35.104939
   -140.65    35.104012
   -137.75    35.103081
   -134.85    35.102150
   -131.95    35.101219
   -129.05    35.100300
   -126.15    35.099369
   -123.25    35.098438
   -120.35    35.097511
   -117.45    35.096581
   -114.55    35.095661
   -111.65    35.094730
   -108.75    35.093800
   -105.85    35.092869
   -102.95    35.091949
   -100.05    35.091011
    -97.15    35.090092
    -94.25    35.089161
    -91.35    35.088230
    -88.45    35.087299
    -85.55    35.086380
    -82.65    35.085449
    -79.75    35.084518
    -76.85    35.083591
    -73.95    35.082661
    -71.05    35.081741
    -68.15    35.080811
    -65.25    35.079880
    -62.35    35.078949
    -59.45    35.078030
    -56.55    35.077099
    -53.65    35.076172
    -50.75    35.075241
    -47.85    35.074310
    -44.95    35.073380
    -42.05    35.072460
    -39.15    35.071529
    -36.25    35.070599
    -33.35    35.069672
    -30.45    35.068741
    -27.55    35.067822
    -24.65    35.066891
    -21.75    35.065960
    -18.85    35.065029
    -15.95    35.064110
    -13.05    35.063179
    -10.15    35.062248
     -7.25    35.061321
     -4.35    35.060390
     -1.45    35.059460
1976/04/08 00:00:00  50 1
   -143.55    35.104939
   -140.65    35.104012
   -137.75    35.103081
   -134.85    35.102150
   -131.95    35.101219
   -129.05    35.100300
   -126.15    35.099369
   -123.25    35.098438
   -120.35    35.097511
   -117.45    35.096581
   -114.55    35.095661
   -111.65    35.094730
   -108.75    35.093800
   -105.85    35.092869
   -102.95    35.091949
   -100.05    35.091011
    -97.15    35.090092
    -94.25    35.089161
    -91.35    35.088230
    -88.45    35.087299
    -85.55    35.086380
    -82.65    35.085449
    -79.75    35.084518
    -76.85    35.083591
    -73.95    35.082661
    -71.05    35.081741
    -68.15    35.080811
    -65.25    35.079880
    -62.35    35.078949
    -59.45    35.078030
    -56.55    35.077099
    -53.65    35.076172
    -50.75    35.075241
    -47.85    35.074310
    -44.95    35.073380
    -42.05    35.072460
    -39.15    35.071529
    -36.25    35.070599
    -33.35    35.069672
    -30.45    35.068741
    -27.55    35.067822
    -24.65    35.066891
    -21.75    35.065960
    -18.85    35.065029
    -15.95    35.064110
    -13.05    35.063179
    -10.15    35.062248
     -7.25    35.061321
     -4.35    35.060390
     -1.45    35.059460
1976/04/09 00:00:00  50 1
   -143.55    35.104939
   -140.65    35.104012
   -137.75    35.103081
   -134.85    35.102150
   -131.95    35.101219
   -129.05    35.100300
   -126.15    35.099369
   -123.25    35.098438
   -120.35    35.097511
   -117.45    35.096581
   -114.55    35.095661
   -111.65    35.094730
   -108.75    35.093800
   -105.85    35.092869
   -102.95    35.091949
   -100.05    35.091011
    -97.15    35.090092
    -94.25    35.089161
    -91.35    35.088230
    -88.45    35.087299
    -85.55    35.086380
    -82.65    35.085449
    -79.75    35.084518
    -76.85    35.083591
    -73.95    35.082661
    -71.05    35.081741
    -68.15    35.080811
    -65.25    35.079880
    -62.35    35.078949
    -59.45    35.078030
    -56.55    35.077099
    -53.65    35.076172
    -50.75    35.075241
    -47.85    35.074310
    -44.95    35.073380
    -42.05    35.072460
    -39.15    35.071529
    -36.25    35.070599
    -33.35    35.069672
    -30.45    35.068741
    -27.55    35.067822
    -24.65    35.066891
    -21.75    35.065960
    -18.85    35.065029
    -15.95    35.064110
    -13.05    35.063179
    -10.15    35.062248
     -7.25    35.061321
     -4.35    35.060390
     -1.45    35.059460
1976/04/10 00:00:00  50 1
   -143.55    35.104939
   -140.65    35.104012
   -137.75    35.103081
   -134.85    35.102150
   -131.95    35.101219
   -129.05    35.100300
   -126.15    35.099369
   -123.25    35.098438
   -120.35    35.097511
   -117.45    35.096581
   -114.55    35.095661
   -111.65    35.094730
   -108.75    35.093800
   -105.85    35.092869
   -102.95    35.091949
   -100.05    35.091011
    -97.15    35.090092
    -94.25    35.089161
    -91.35    35.088230
    -88.45    35.087299
    -85.55    35.086380
    -82.65    35.085449
    -79.75    35.084518
    -76.85    35.083591
    -73.95    35.082661
    -71.05    35.081741
    -68.15    35.080811
    -65.25    35.079880
    -62.35    35.078949
    -59.45    35.078030
    -56.55    35.077099
    -53.65    35.076172
    -50.75    35.075241
    -47.85    35.074310
    -44.95    35.073380
    -42.05    35.072460
    -39.15    35.071529
    -36.25    35.070599
    -33.35    35.069672
    -30.45    35.068741
    -27.55    35.067822
    -24.65    35.066891
