1976/03/25 12:00:00  56 1
 -138.75  6.06000042
 -136.25  6.06000042
 -133.75  6.06000042
 -131.25  6.06000042
 -128.75  6.06000042
 -126.25  6.06000042
 -123.75  6.06000042
 -121.25  6.06000042
 -118.75  6.06000042
 -116.25  6.06000042
 -113.75  6.06000042
 -111.25  6.06000042
 -108.75  6.06000042
 -106.25  6.06000042
 -103.75  6.06000042
 -101.25  6.06000042
 -98.75  6.06000042
 -96.25  6.06000042
 -93.75  6.06000042
 -91.25  6.06000042
 -88.75  6.06000042
 -86.25  6.06000042
 -83.75  6.06000042
 -81.25  6.06000042
 -78.75  6.06000042
 -76.25  6.06000042
 -73.75  6.06000042
 -71.25  6.05625057
 -68.75  6.06000042
 -66.25  6.06000042
 -63.75  6.05500031
 -61.25  6.05875015
 -58.75  6.06000042
 -56.25  6.06375027
 -53.75  6.05500031
 -51.25  6.05875015
 -48.75  6.06500053
 -46.25  6.06500053
 -43.75  6.06000042
 -41.25  6.06375027
 -38.75  6.05625057
 -36.25  6.05875015
 -33.75  6.06000042
 -31.25  6.06500053
 -28.75  6.06500053
 -26.25  6.06500053
 -23.75  6.06500053
 -21.25  6.06500053
 -18.75  6.06500053
 -16.25  6.07000065
 -13.75  6.07625008
 -11.25  6.08874989
 -8.75  6.09125042
 -6.25  6.11250019
 -3.75  6.11999989
 -1.25  6.12874985
1976/03/25 18:00:00  56 1
 -138.75  6.22333336
 -136.25  6.22333336
 -133.75  6.22249985
 -131.25  6.22083378
 -128.75  6.22000027
 -126.25  6.22000027
 -123.75  6.22000027
 -121.25  6.22000027
 -118.75  6.22000027
 -116.25  6.22000027
 -113.75  6.22000027
 -111.25  6.22000027
 -108.75  6.21666718
 -106.25  6.21666718
 -103.75  6.21666718
 -101.25  6.21333313
 -98.75  6.21333313
 -96.25  6.21333313
 -93.75  6.21666718
 -91.25  6.21666718
 -88.75  6.21333313
 -86.25  6.21583366
 -83.75  6.21666718
 -81.25  6.21666718
 -78.75  6.21666718
 -76.25  6.21666718
 -73.75  6.21666718
 -71.25  6.21666718
 -68.75  6.21666718
 -66.25  6.21416664
 -63.75  6.21333313
 -61.25  6.21333313
 -58.75  6.21666718
 -56.25  6.21666718
 -53.75  6.21666718
 -51.25  6.21666718
 -48.75  6.21666718
 -46.25  6.21666718
 -43.75  6.21666718
 -41.25  6.21666718
 -38.75  6.21750069
 -36.25  6.22333336
 -33.75  6.22916698
 -31.25  6.22916698
 -28.75  6.2300005
 -26.25  6.23500061
 -23.75  6.25
 -21.25  6.24750042
 -18.75  6.24750042
 -16.25  6.25
 -13.75  6.25
 -11.25  6.25
 -8.75  6.25
 -6.25  6.25
 -3.75  6.25
 -1.25  6.25333405
1976/03/26 00:00:00  56 1
 -138.75  6.125
 -136.25  6.125
 -133.75  6.125
 -131.25  6.125
 -128.75  6.125
 -126.25  6.125
 -123.75  6.12375069
 -121.25  6.12125015
 -118.75  6.11999989
 -116.25  6.11999989
 -113.75  6.12156296
 -111.25  6.12468815
 -108.75  6.125
 -106.25  6.125
 -103.75  6.11999989
 -101.25  6.11999989
 -98.75  6.11999989
 -96.25  6.11625004
 -93.75  6.11500072
 -91.25  6.11999989
 -88.75  6.11999989
 -86.25  6.11999989
 -83.75  6.11999989
 -81.25  6.11999989
 -78.75  6.11999989
 -76.25  6.11999989
 -73.75  6.11875057
 -71.25  6.11000061
 -68.75  6.11000061
 -66.25  6.11000061
 -63.75  6.11000061
 -61.25  6.11500072
 -58.75  6.11375046
 -56.25  6.11000061
 -53.75  6.11000061
 -51.25  6.11124992
 -48.75  6.11000061
 -46.25  6.11000061
 -43.75  6.11000061
 -41.25  6.11000061
 -38.75  6.11000061
 -36.25  6.11000061
 -33.75  6.10624981
 -31.25  6.10624981
 -28.75  6.1050005
 -26.25  6.11000061
 -23.75  6.1050005
 -21.25  6.1050005
 -18.75  6.10249996
 -16.25  6.11000061
 -13.75  6.11000061
 -11.25  6.11000061
 -8.75  6.11000061
 -6.25  6.11000061
 -3.75  6.1050005
 -1.25  6.10125065
1976/03/26 06:00:00  56 1
 -138.75  6.11999989
 -136.25  6.11999989
 -133.75  6.11875057
 -131.25  6.11625004
 -128.75  6.11500072
 -126.25  6.11500072
 -123.75  6.11625004
 -121.25  6.11875057
 -118.75  6.11999989
 -116.25  6.11999989
 -113.75  6.11843777
 -111.25  6.11531258
 -108.75  6.11500072
 -106.25  6.11500072
 -103.75  6.11500072
 -101.25  6.11500072
 -98.75  6.11500072
 -96.25  6.11500072
 -93.75  6.11500072
 -91.25  6.11500072
 -88.75  6.11500072
 -86.25  6.11500072
 -83.75  6.11500072
 -81.25  6.11875057
 -78.75  6.11999989
 -76.25  6.11999989
 -73.75  6.11999989
 -71.25  6.11999989
 -68.75  6.11999989
 -66.25  6.125
 -63.75  6.125
 -61.25  6.11999989
 -58.75  6.11999989
 -56.25  6.11999989
 -53.75  6.11999989
 -51.25  6.11999989
 -48.75  6.11999989
 -46.25  6.11999989
 -43.75  6.11875057
 -41.25  6.11500072
 -38.75  6.11500072
 -36.25  6.11500072
 -33.75  6.11500072
 -31.25  6.11500072
 -28.75  6.11500072
 -26.25  6.11500072
 -23.75  6.11500072
 -21.25  6.11500072
 -18.75  6.11500072
 -16.25  6.11500072
 -13.75  6.11500072
 -11.25  6.11500072
 -8.75  6.11500072
 -6.25  6.11500072
 -3.75  6.11500072
 -1.25  6.11500072
1976/03/26 12:00:00  56 1
 -138.75  6.10166645
 -136.25  6.09833336
 -133.75  6.09666729
 -131.25  6.09666729
 -128.75  6.09666729
 -126.25  6.09666729
 -123.75  6.09666729
 -121.25  6.09666729
 -118.75  6.09666729
 -116.25  6.09666729
 -113.75  6.09666729
 -111.25  6.09666729
 -108.75  6.09666729
 -106.25  6.09666729
 -103.75  6.09749985
 -101.25  6.09749985
 -98.75  6.09666729
 -96.25  6.09666729
 -93.75  6.09749985
 -91.25  6.10000038
 -88.75  6.09916687
 -86.25  6.09666729
 -83.75  6.09666729
 -81.25  6.09666729
 -78.75  6.09666729
 -76.25  6.09666729
 -73.75  6.09666729
 -71.25  6.09666729
 -68.75  6.09666729
 -66.25  6.09666729
 -63.75  6.09666729
 -61.25  6.09666729
 -58.75  6.09666729
 -56.25  6.09666729
 -53.75  6.09666729
 -51.25  6.09666729
 -48.75  6.09666729
 -46.25  6.09666729
 -43.75  6.09666729
 -41.25  6.09666729
 -38.75  6.09666729
 -36.25  6.09666729
 -33.75  6.09666729
 -31.25  6.09916687
 -28.75  6.10000038
 -26.25  6.10000038
 -23.75  6.10000038
 -21.25  6.10000038
 -18.75  6.10000038
 -16.25  6.10000038
 -13.75  6.09666729
 -11.25  6.09666729
 -8.75  6.09666729
 -6.25  6.09666729
 -3.75  6.10000038
 -1.25  6.10000038
1976/03/26 18:00:00  56 1
 -138.75  6.22000027
 -136.25  6.22000027
 -133.75  6.22000027
 -131.25  6.22000027
 -128.75  6.22000027
 -126.25  6.22000027
 -123.75  6.22000027
 -121.25  6.22000027
 -118.75  6.22000027
 -116.25  6.22000027
 -113.75  6.22000027
 -111.25  6.22000027
 -108.75  6.21666718
 -106.25  6.21666718
 -103.75  6.21583366
 -101.25  6.21666718
 -98.75  6.21666718
 -96.25  6.21666718
 -93.75  6.21583366
 -91.25  6.21333313
 -88.75  6.22000027
 -86.25  6.22000027
 -83.75  6.21666718
 -81.25  6.21666718
 -78.75  6.21666718
 -76.25  6.21666718
 -73.75  6.21666718
 -71.25  6.21666718
 -68.75  6.21416664
 -66.25  6.21416664
 -63.75  6.21333313
 -61.25  6.21333313
 -58.75  6.21333313
 -56.25  6.21333313
 -53.75  6.21333313
 -51.25  6.21333313
 -48.75  6.21333313
 -46.25  6.21333313
 -43.75  6.21250057
 -41.25  6.21000004
 -38.75  6.21000004
 -36.25  6.21000004
 -33.75  6.21083355
 -31.25  6.21333313
 -28.75  6.21000004
 -26.25  6.21000004
 -23.75  6.21000004
 -21.25  6.21000004
 -18.75  6.21000004
 -16.25  6.20666695
 -13.75  6.20666695
 -11.25  6.21000004
 -8.75  6.20916653
 -6.25  6.20916653
 -3.75  6.21333313
 -1.25  6.21916676
1976/03/27 00:00:00  56 1
 -138.75  6.22125053
 -136.25  6.22375011
 -133.75  6.22375011
 -131.25  6.22125053
 -128.75  6.22000027
 -126.25  6.22000027
 -123.75  6.22000027
 -121.25  6.22000027
 -118.75  6.22000027
 -116.25  6.22000027
 -113.75  6.22000027
 -111.25  6.22000027
 -108.75  6.22000027
 -106.25  6.22000027
 -103.75  6.22000027
 -101.25  6.22000027
 -98.75  6.22000027
 -96.25  6.22000027
 -93.75  6.22000027
 -91.25  6.22000027
 -88.75  6.22000027
 -86.25  6.22000027
 -83.75  6.22000027
 -81.25  6.21500015
 -78.75  6.21500015
 -76.25  6.21000004
 -73.75  6.21000004
 -71.25  6.21000004
 -68.75  6.21000004
 -66.25  6.21000004
 -63.75  6.21000004
 -61.25  6.21000004
 -58.75  6.21000004
 -56.25  6.21000004
 -53.75  6.21000004
 -51.25  6.21000004
 -48.75  6.21000004
 -46.25  6.21000004
 -43.75  6.21000004
 -41.25  6.21000004
 -38.75  6.21000004
 -36.25  6.21000004
 -33.75  6.21000004
 -31.25  6.21000004
 -28.75  6.21000004
 -26.25  6.21000004
 -23.75  6.21000004
 -21.25  6.21000004
 -18.75  6.21000004
 -16.25  6.21000004
 -13.75  6.21000004
 -11.25  6.21000004
 -8.75  6.20875072
 -6.25  6.20499992
 -3.75  6.19999981
 -1.25  6.21000004
1976/03/27 06:00:00  56 1
 -138.75  6.22749996
 -136.25  6.22749996
 -133.75  6.22749996
 -131.25  6.22749996
 -128.75  6.22687531
 -126.25  6.22562504
 -123.75  6.22500038
 -121.25  6.22500038
 -118.75  6.22437572
 -116.25  6.22312546
 -113.75  6.22328186
 -111.25  6.22484398
 -108.75  6.22500038
 -106.25  6.22500038
 -103.75  6.22500038
 -101.25  6.22500038
 -98.75  6.22500038
 -96.25  6.22500038
 -93.75  6.22437572
 -91.25  6.22249985
 -88.75  6.22249985
 -86.25  6.22249985
 -83.75  6.22249985
 -81.25  6.22249985
 -78.75  6.22187519
 -76.25  6.22000027
 -73.75  6.22000027
 -71.25  6.21625042
 -68.75  6.21625042
 -66.25  6.21812534
 -63.75  6.21750069
 -61.25  6.21562481
 -58.75  6.21687508
 -56.25  6.21500015
 -53.75  6.21500015
 -51.25  6.21500015
 -48.75  6.21500015
 -46.25  6.21500015
 -43.75  6.21500015
 -41.25  6.21500015
 -38.75  6.21500015
 -36.25  6.21500015
 -33.75  6.21500015
 -31.25  6.21500015
 -28.75  6.21250057
 -26.25  6.21250057
 -23.75  6.21250057
 -21.25  6.21250057
 -18.75  6.21250057
 -16.25  6.21250057
 -13.75  6.21250057
