1980-01-01 00:00:00  18 2
-1.3 2.200E-07 5.700E-07 1.480E-06 3.460E-04
-10.4 2.200E-07 4.300E-07 1.640E-06 3.478E-04
-18.6 2.300E-07 5.100E-07 1.910E-06 3.473E-04
-29.8 2.200E-07 5.400E-07 1.670E-06 3.473E-04
-39.9 2.400E-07 4.700E-07 1.910E-06 3.464E-04
-49 2.300E-07 7.300E-07 1.610E-06 3.464E-04
-59.3 4.600E-07 8.600E-07 3.000E-07 3.491E-04
-70.1 8.500E-07 4.010E-06 2.700E-07 2.830E-04
-79.7 2.020E-06 8.380E-06 2.500E-07 1.018E-04
-88.5 2.450E-06 9.130E-06 3.700E-07 5.223E-05
-101.3 2.660E-06 1.095E-05 3.500E-07 2.589E-05
-109.7 2.610E-06 1.140E-05 3.500E-07 2.679E-05
-124.2 2.950E-06 9.130E-06 2.500E-07 8.482E-06
-150.1 3.810E-06 3.500E-07 2.080E-06 2.679E-06
-176 4.420E-06 0.000E+00 3.180E-06 0.000E+00
-199.8 4.610E-06 0.000E+00 4.010E-06 0.000E+00
-226.2 4.690E-06 0.000E+00 4.700E-06 0.000E+00
-239.7 5.800E-06 0.000E+00 8.640E-06 0.000E+00
