1960/01/01 00:00:00  11 2
  0.  32.6155014
 -10.  32.6212997
 -20.  32.6254997
 -30.  32.6263008
 -50.  32.6307526
 -75.  32.6474533
 -100.  32.8250999
 -125.  33.2625999
 -150.  33.5818481
 -200.  33.7833481
 -250.  33.8423996
1960/01/16 12:00:00  11 2
  0.  32.6371002
 -10.  32.6385994
 -20.  32.6403008
 -30.  32.6389999
 -50.  32.6436005
 -75.  32.6444016
 -100.  32.7748985
 -125.  33.2967987
 -150.  33.6015015
 -200.  33.7910004
 -250.  33.8438988
1960/02/15 12:00:00  11 2
  0.  32.6735001
 -10.  32.675499
 -20.  32.7118988
 -30.  32.7142982
 -50.  32.7173004
 -75.  32.7238007
 -100.  32.8404999
 -125.  33.3224983
 -150.  33.6262016
 -200.  33.7951012
 -250.  33.8498001
1960/03/16 12:00:00  11 2
  0.  32.6502991
 -10.  32.660099
 -20.  32.6708984
 -30.  32.6787987
 -50.  32.6851006
 -75.  32.6789017
 -100.  32.7552986
 -125.  33.1959
 -150.  33.5453987
 -200.  33.7793999
 -250.  33.8391991
1960/04/16 00:00:00  11 2
  0.  32.6758995
 -10.  32.6809006
 -20.  32.6811981
 -30.  32.6805992
 -50.  32.6822014
 -75.  32.6856995
 -100.  32.8137016
 -125.  33.1940002
 -150.  33.5373001
 -200.  33.7725983
 -250.  33.8392982
1960/05/16 12:00:00  11 2
  0.  32.6815987
 -10.  32.6795006
 -20.  32.6786003
 -30.  32.6809006
 -50.  32.6903992
 -75.  32.7230988
 -100.  32.8866005
 -125.  33.3035011
 -150.  33.6379013
 -200.  33.8063011
 -250.  33.8628006
1960/06/16 00:00:00  11 2
  0.  32.6455994
 -10.  32.6757011
 -20.  32.6800995
 -30.  32.6838989
 -50.  32.7083015
 -75.  32.7360992
 -100.  32.8549995
 -125.  33.2515984
 -150.  33.6204987
 -200.  33.787899
 -250.  33.8623009
1960/07/16 12:00:00  11 2
  0.  32.6078987
 -10.  32.6086998
 -20.  32.6176987
 -30.  32.6343002
 -50.  32.6883011
 -75.  32.7344017
 -100.  32.8568001
 -125.  33.2472992
 -150.  33.5900993
 -200.  33.7869987
 -250.  33.8516006
1960/08/16 12:00:00  11 2
  0.  32.5572014
 -10.  32.5700989
 -20.  32.5904999
 -30.  32.6241989
 -50.  32.710701
 -75.  32.7596016
 -100.  32.8925018
 -125.  33.2715988
 -150.  33.614399
 -200.  33.8022995
 -250.  33.854599
1960/09/16 00:00:00  11 2
  0.  32.5261002
 -10.  32.5345001
 -20.  32.5396996
 -30.  32.5587006
 -50.  32.6837997
 -75.  32.7593002
 -100.  32.8796005
 -125.  33.2066002
 -150.  33.5647011
 -200.  33.7983017
 -250.  33.8540993
1960/10/16 12:00:00  11 2
  0.  32.4785004
 -10.  32.4911003
 -20.  32.4963989
 -30.  32.4994011
 -50.  32.5606995
 -75.  32.7238998
 -100.  32.8998985
 -125.  33.2677994
 -150.  33.5839996
 -200.  33.7652016
 -250.  33.8265991
1960/11/16 00:00:00  11 2
  0.  32.6007996
 -10.  32.5990982
 -20.  32.6049995
 -30.  32.6076012
 -50.  32.6165009
 -75.  32.7262001
 -100.  32.9105988
 -125.  33.2610016
 -150.  33.6136017
 -200.  33.7871017
 -250.  33.853199
1960/12/16 12:00:00  11 2
  0.  32.5938988
 -10.  32.6040001
 -20.  32.6106987
 -30.  32.6136017
 -50.  32.6179008
 -75.  32.6505013
 -100.  32.8753014
 -125.  33.2284012
 -150.  33.5621986
 -200.  33.7756996
 -250.  33.8409004
1961/01/16 12:00:00  11 2
  0.  32.6371002
 -10.  32.6385994
 -20.  32.6403008
 -30.  32.6389999
 -50.  32.6436005
 -75.  32.6444016
 -100.  32.7748985
 -125.  33.2967987
 -150.  33.6015015
 -200.  33.7910004
 -250.  33.8438988
1961/02/15 00:00:00  11 2
  0.  32.6735001
 -10.  32.675499
 -20.  32.7118988
 -30.  32.7142982
 -50.  32.7173004
 -75.  32.7238007
 -100.  32.8404999
 -125.  33.3224983
 -150.  33.6262016
 -200.  33.7951012
 -250.  33.8498001
1961/03/16 12:00:00  11 2
  0.  32.6502991
 -10.  32.660099
 -20.  32.6708984
 -30.  32.6787987
 -50.  32.6851006
 -75.  32.6789017
 -100.  32.7552986
 -125.  33.1959
 -150.  33.5453987
 -200.  33.7793999
 -250.  33.8391991
1961/04/16 00:00:00  11 2
  0.  32.6758995
 -10.  32.6809006
