! data from Xianmin @ http://knossos.eas.ualberta.ca/xianmin/nadja/
! format: date; next line; z (m), u (m/s), v (m/s); etc.
2002/01/05 00:00:00 22 2
  -0.49  0.1735 -0.0322
  -1.54  0.1735 -0.0322
  -2.65  0.1735 -0.0322
  -3.82  0.1735 -0.0322
  -5.08  0.1735 -0.0322
  -6.44  0.1735 -0.0321
  -7.93  0.1736 -0.0320
  -9.57  0.1736 -0.0318
 -11.41  0.1735 -0.0315
 -13.47  0.1732 -0.0315
 -15.81  0.1727 -0.0315
 -18.50  0.1728 -0.0313
 -21.60  0.1729 -0.0312
 -25.21  0.1746 -0.0309
 -29.44  0.1760 -0.0284
 -34.43  0.1816 -0.0264
 -40.34  0.1840 -0.0271
 -47.37  0.1857 -0.0290
 -55.76  0.1856 -0.0314
 -65.81  0.1836 -0.0327
 -77.85  0.1751 -0.0334
 -92.33  0.1581 -0.0351
2002/01/10 00:00:00 22 2
  -0.49  0.2414 -0.0399
  -1.54  0.2414 -0.0399
  -2.65  0.2414 -0.0399
  -3.82  0.2414 -0.0399
  -5.08  0.2414 -0.0399
  -6.44  0.2414 -0.0399
  -7.93  0.2414 -0.0399
  -9.57  0.2414 -0.0399
 -11.41  0.2414 -0.0399
 -13.47  0.2414 -0.0400
 -15.81  0.2414 -0.0401
 -18.50  0.2413 -0.0401
 -21.60  0.2413 -0.0401
 -25.21  0.2413 -0.0401
 -29.44  0.2413 -0.0401
 -34.43  0.2431 -0.0392
 -40.34  0.2418 -0.0370
 -47.37  0.2406 -0.0353
 -55.76  0.2386 -0.0363
 -65.81  0.2378 -0.0373
 -77.85  0.2224 -0.0422
 -92.33  0.1986 -0.0543
2002/01/15 00:00:00 22 2
  -0.49  0.2175 -0.0352
  -1.54  0.2175 -0.0352
  -2.65  0.2175 -0.0352
  -3.82  0.2175 -0.0352
  -5.08  0.2175 -0.0352
  -6.44  0.2175 -0.0352
  -7.93  0.2175 -0.0353
  -9.57  0.2174 -0.0354
 -11.41  0.2164 -0.0385
 -13.47  0.2146 -0.0438
 -15.81  0.2147 -0.0447
 -18.50  0.2164 -0.0448
 -21.60  0.2165 -0.0449
