2001/08/30 07:00:00   22 2
     -6.00000       0.00000       0.12000
     -8.00000       0.01000       0.11000
    -10.00000       0.02000       0.09000
    -12.00000       0.02000       0.07000
    -14.00000       0.03000       0.05000
    -16.00000       0.02000       0.04000
    -18.00000       0.01000       0.04000
    -20.00000      -0.01000       0.05000
    -22.00000      -0.03000       0.00000
    -24.00000      -0.03000      -0.04000
    -26.00000      -0.04000      -0.06000
    -28.00000      -0.06000      -0.06000
    -30.00000      -0.07000      -0.07000
    -32.00000      -0.07000      -0.08000
    -34.00000      -0.08000      -0.09000
    -36.00000      -0.09000      -0.10000
    -38.00000      -0.10000      -0.12000
    -40.00000      -0.10000      -0.13000
    -42.00000      -0.11000      -0.14000
    -44.00000      -0.12000      -0.17000
    -46.00000      -0.15000      -0.14000
    -48.00000      -0.12000      -0.11000
2001/08/30 08:00:00   22 2
     -6.00000       0.03000       0.10000
     -8.00000       0.04000       0.09000
    -10.00000       0.05000       0.06000
    -12.00000       0.05000       0.05000
    -14.00000       0.05000       0.04000
    -16.00000       0.05000       0.02000
    -18.00000       0.03000       0.01000
    -20.00000       0.03000       0.02000
    -22.00000       0.00000       0.02000
    -24.00000      -0.05000      -0.03000
    -26.00000      -0.05000      -0.06000
    -28.00000      -0.07000      -0.06000
    -30.00000      -0.07000      -0.06000
    -32.00000      -0.09000      -0.06000
    -34.00000      -0.09000      -0.08000
    -36.00000      -0.09000      -0.09000
    -38.00000      -0.10000      -0.10000
    -40.00000      -0.11000      -0.10000
    -42.00000      -0.14000      -0.11000
    -44.00000      -0.15000      -0.13000
    -46.00000      -0.16000      -0.12000
    -48.00000      -0.14000      -0.09000
2001/08/30 09:00:00   22 2
     -6.00000       0.07000       0.08000
     -8.00000       0.08000       0.07000
    -10.00000       0.08000       0.04000
    -12.00000       0.06000       0.01000
    -14.00000       0.05000       0.00000
    -16.00000       0.04000       0.00000
    -18.00000       0.04000      -0.01000
    -20.00000       0.02000      -0.01000
    -22.00000       0.01000      -0.01000
    -24.00000      -0.04000      -0.04000
    -26.00000      -0.06000      -0.07000
    -28.00000      -0.06000      -0.06000
    -30.00000      -0.07000      -0.06000
    -32.00000      -0.09000      -0.07000
    -34.00000      -0.09000      -0.08000
    -36.00000      -0.10000      -0.07000
    -38.00000      -0.12000      -0.07000
    -40.00000      -0.14000      -0.07000
    -42.00000      -0.15000      -0.06000
    -44.00000      -0.17000      -0.08000
    -46.00000      -0.18000      -0.09000
    -48.00000      -0.16000      -0.04000
2001/08/30 10:00:00   22 2
     -6.00000       0.08000       0.05000
     -8.00000       0.07000       0.03000
    -10.00000       0.07000       0.00000
    -12.00000       0.04000      -0.01000
    -14.00000       0.03000      -0.01000
    -16.00000       0.02000      -0.02000
    -18.00000       0.02000      -0.03000
    -20.00000       0.01000      -0.02000
    -22.00000       0.00000      -0.03000
    -24.00000      -0.05000      -0.04000
    -26.00000      -0.05000      -0.06000
    -28.00000      -0.05000      -0.05000
    -30.00000      -0.07000      -0.05000
    -32.00000      -0.08000      -0.04000
    -34.00000      -0.09000      -0.05000
    -36.00000      -0.10000      -0.05000
    -38.00000      -0.12000      -0.05000
    -40.00000      -0.12000      -0.04000
    -42.00000      -0.13000      -0.04000
    -44.00000      -0.15000      -0.06000
    -46.00000      -0.17000      -0.05000
    -48.00000      -0.14000      -0.02000
2001/08/30 11:00:00   22 2
     -6.00000       0.06000       0.01000
     -8.00000       0.05000      -0.01000
    -10.00000       0.03000      -0.02000
    -12.00000       0.02000      -0.03000
    -14.00000       0.01000      -0.03000
    -16.00000      -0.01000      -0.04000
    -18.00000      -0.01000      -0.04000
    -20.00000      -0.01000      -0.02000
    -22.00000      -0.01000      -0.03000
    -24.00000      -0.04000      -0.03000
    -26.00000      -0.05000      -0.04000
    -28.00000      -0.05000      -0.04000
    -30.00000      -0.06000      -0.02000
    -32.00000      -0.07000      -0.02000
    -34.00000      -0.09000      -0.03000
    -36.00000      -0.10000      -0.02000
    -38.00000      -0.11000      -0.01000
    -40.00000      -0.11000      -0.01000
    -42.00000      -0.10000      -0.02000
    -44.00000      -0.13000      -0.04000
    -46.00000      -0.13000      -0.04000
    -48.00000      -0.08000       0.00000
2001/08/30 12:00:00   22 2
     -6.00000       0.04000      -0.01000
     -8.00000       0.03000      -0.02000
    -10.00000       0.02000      -0.04000
    -12.00000       0.00000      -0.04000
    -14.00000      -0.01000      -0.02000
    -16.00000      -0.03000      -0.02000
    -18.00000      -0.03000      -0.03000
    -20.00000      -0.03000      -0.03000
    -22.00000      -0.02000      -0.04000
    -24.00000      -0.04000      -0.03000
    -26.00000      -0.06000      -0.04000
    -28.00000      -0.07000      -0.04000
    -30.00000      -0.06000      -0.02000
    -32.00000      -0.08000      -0.02000
    -34.00000      -0.10000      -0.01000
    -36.00000      -0.11000       0.00000
    -38.00000      -0.11000      -0.01000
    -40.00000      -0.10000       0.01000
    -42.00000      -0.09000       0.00000
    -44.00000      -0.12000      -0.03000
    -46.00000      -0.09000      -0.02000
    -48.00000       0.00000      -0.02000
2001/08/30 13:00:00   22 2
     -6.00000       0.00000      -0.01000
     -8.00000      -0.01000      -0.03000
    -10.00000      -0.03000      -0.03000
    -12.00000      -0.04000      -0.02000
    -14.00000      -0.05000      -0.01000
    -16.00000      -0.05000      -0.02000
    -18.00000      -0.05000      -0.01000
    -20.00000      -0.04000      -0.01000
    -22.00000      -0.03000      -0.03000
    -24.00000      -0.04000      -0.05000
    -26.00000      -0.05000      -0.06000
    -28.00000      -0.06000      -0.04000
    -30.00000      -0.05000      -0.02000
    -32.00000      -0.06000      -0.01000
    -34.00000      -0.08000      -0.01000
    -36.00000      -0.09000       0.00000
    -38.00000      -0.08000       0.00000
    -40.00000      -0.06000       0.00000
    -42.00000      -0.07000      -0.02000
    -44.00000      -0.09000      -0.03000
    -46.00000      -0.05000      -0.02000
    -48.00000       0.02000      -0.07000
2001/08/30 14:00:00   22 2
     -6.00000      -0.03000      -0.01000
     -8.00000      -0.04000      -0.03000
    -10.00000      -0.05000      -0.03000
    -12.00000      -0.06000      -0.01000
    -14.00000      -0.06000      -0.01000
    -16.00000      -0.08000       0.00000
    -18.00000      -0.08000       0.00000
    -20.00000      -0.07000       0.00000
    -22.00000      -0.07000      -0.01000
    -24.00000      -0.06000      -0.04000
    -26.00000      -0.06000      -0.05000
    -28.00000      -0.04000      -0.04000
    -30.00000      -0.03000      -0.04000
    -32.00000      -0.04000      -0.01000
    -34.00000      -0.06000       0.00000
    -36.00000      -0.06000       0.00000
    -38.00000      -0.04000       0.00000
    -40.00000      -0.02000      -0.01000
    -42.00000      -0.02000      -0.01000
    -44.00000      -0.05000      -0.02000
    -46.00000      -0.04000      -0.03000
    -48.00000       0.00000      -0.10000
2001/08/30 15:00:00   22 2
     -6.00000      -0.06000       0.00000
     -8.00000      -0.07000       0.00000
    -10.00000      -0.07000       0.00000
    -12.00000      -0.06000       0.00000
    -14.00000      -0.07000       0.01000
    -16.00000      -0.09000       0.00000
    -18.00000      -0.08000       0.01000
    -20.00000      -0.08000       0.01000
    -22.00000      -0.09000       0.01000
    -24.00000      -0.07000      -0.03000
    -26.00000      -0.06000      -0.05000
    -28.00000      -0.03000      -0.04000
    -30.00000      -0.01000      -0.04000
    -32.00000      -0.02000      -0.02000
    -34.00000      -0.02000       0.00000
    -36.00000      -0.02000       0.00000
    -38.00000      -0.01000      -0.02000
    -40.00000       0.01000      -0.03000
    -42.00000       0.02000      -0.04000
    -44.00000       0.00000      -0.04000
    -46.00000       0.01000      -0.07000
    -48.00000       0.01000      -0.15000
2001/08/30 16:00:00   22 2
     -6.00000      -0.06000       0.02000
     -8.00000      -0.08000       0.03000
    -10.00000      -0.08000       0.03000
    -12.00000      -0.07000       0.02000
    -14.00000      -0.06000       0.01000
    -16.00000      -0.07000       0.02000
    -18.00000      -0.08000       0.01000
    -20.00000      -0.08000       0.01000
    -22.00000      -0.08000       0.02000
    -24.00000      -0.07000       0.02000
    -26.00000      -0.07000      -0.03000
    -28.00000      -0.03000      -0.04000
    -30.00000       0.00000      -0.06000
    -32.00000       0.00000      -0.04000
    -34.00000       0.00000      -0.03000
    -36.00000       0.01000      -0.03000
    -38.00000       0.01000      -0.04000
    -40.00000       0.02000      -0.06000
    -42.00000       0.04000      -0.08000
    -44.00000       0.03000      -0.08000
    -46.00000       0.03000      -0.10000
    -48.00000       0.01000      -0.19000
2001/08/30 17:00:00   22 2
     -6.00000      -0.06000       0.06000
     -8.00000      -0.06000       0.06000
    -10.00000      -0.07000       0.06000
    -12.00000      -0.05000       0.05000
    -14.00000      -0.05000       0.04000
    -16.00000      -0.06000       0.04000
    -18.00000      -0.05000       0.02000
    -20.00000      -0.05000       0.04000
    -22.00000      -0.05000       0.05000
    -24.00000      -0.03000       0.04000
    -26.00000      -0.06000       0.00000
    -28.00000      -0.04000      -0.06000
    -30.00000      -0.01000      -0.08000
    -32.00000       0.01000      -0.08000
    -34.00000       0.01000      -0.06000
    -36.00000       0.02000      -0.06000
    -38.00000       0.03000      -0.08000
    -40.00000       0.03000      -0.10000
    -42.00000       0.03000      -0.12000
    -44.00000       0.02000      -0.11000
    -46.00000       0.00000      -0.14000
    -48.00000      -0.05000      -0.21000
2001/08/30 18:00:00   22 2
     -6.00000      -0.03000       0.07000
     -8.00000      -0.03000       0.08000
    -10.00000      -0.03000       0.09000
    -12.00000      -0.03000       0.08000
    -14.00000      -0.02000       0.07000
    -16.00000      -0.02000       0.05000
    -18.00000      -0.02000       0.03000
    -20.00000      -0.01000       0.02000
    -22.00000       0.00000       0.01000
    -24.00000       0.01000       0.02000
    -26.00000      -0.04000      -0.01000
    -28.00000      -0.05000      -0.05000
    -30.00000      -0.02000      -0.07000
    -32.00000       0.00000      -0.08000
    -34.00000       0.01000      -0.07000
    -36.00000       0.02000      -0.08000
    -38.00000       0.03000      -0.09000
    -40.00000       0.02000      -0.11000
    -42.00000       0.01000      -0.13000
    -44.00000       0.01000      -0.13000
    -46.00000      -0.02000      -0.16000
    -48.00000      -0.08000      -0.20000
2001/08/30 19:00:00   22 2
     -6.00000       0.00000       0.09000
     -8.00000       0.00000       0.09000
    -10.00000       0.01000       0.09000
    -12.00000       0.01000       0.09000
    -14.00000       0.02000       0.07000
    -16.00000       0.02000       0.04000
    -18.00000       0.03000       0.03000
    -20.00000       0.04000       0.02000
    -22.00000       0.04000       0.01000
    -24.00000       0.04000       0.01000
    -26.00000      -0.03000      -0.01000
    -28.00000      -0.03000      -0.05000
    -30.00000      -0.02000      -0.07000
    -32.00000      -0.02000      -0.08000
    -34.00000       0.01000      -0.09000
    -36.00000       0.02000      -0.09000
    -38.00000       0.02000      -0.10000
    -40.00000       0.00000      -0.12000
    -42.00000      -0.01000      -0.14000
    -44.00000      -0.01000      -0.14000
    -46.00000      -0.03000      -0.16000
    -48.00000      -0.10000      -0.17000
2001/08/30 20:00:00   22 2
     -6.00000       0.03000       0.08000
     -8.00000       0.03000       0.09000
    -10.00000       0.04000       0.10000
